frame,dist,pred_name,gt_label,pred_x,pred_y,pred_z,gt_x,gt_y,gt_z
0,1.6971,Cell type 1_3,640,561.565,270.625,125.776,562.0,269.0,126.0
0,1.7744,Cell type 1_2,256,385.986,153.66,117.702,387.0,153.0,119.0
0,1.7857,Cell type 1_1,1,189.506,250.13,120.475,189.0,251.0,119.0
0,2.1577,Cell type 1_4,511,380.236,364.77,113.757,380.0,366.0,112.0
1,3.1872,Cell type 1_2,256,392.118,162.014,112.938,395.0,163.0,112.0
1,4.7567,Cell type 1_4,511,366.298,382.881,114.944,365.0,385.0,119.0
1,4.8854,Cell type 1_3,640,557.641,254.928,121.493,556.0,254.0,126.0
1,5.9143,Cell type 1_1,1,190.239,231.782,117.779,190.0,226.0,119.0
2,3.3495,Cell type 1_3,640,549.65,250.906,129.064,551.0,251.0,126.0
2,4.4602,Cell type 1_4,511,350.249,385.626,117.076,347.0,388.0,119.0
2,11.9703,Cell type 1_2,256,392.821,167.74,114.466,397.0,178.0,119.0
2,16.3041,Cell type 1_1,1,188.8,228.575,109.643,201.0,234.0,119.0
3,3.3657,Cell type 1_3,640,553.349,247.121,115.894,554.0,246.0,119.0
3,4.568,Cell type 1_4,511,362.387,385.112,122.518,362.0,388.0,119.0
3,4.8132,Cell type 1_1,1,206.205,234.14,101.084,209.0,234.0,105.0
3,10.1395,Cell type 1_2,256,388.319,197.54,101.876,388.0,198.0,112.0
4,1.5158,Cell type 1_1,2,197.884,246.518,89.5676,198.0,247.0,91.0
4,5.9019,Cell type 1_4,511,378.848,388.766,122.45,383.0,391.0,126.0
4,6.0966,Cell type 1_3,640,538.021,238.49,99.0883,538.0,237.0,105.0
5,3.4314,Cell type 1_20,384,414.938,172.491,122.777,416.0,173.0,126.0
5,5.4802,Cell type 1_4,511,376.806,364.835,134.654,378.0,365.0,140.0
5,5.6199,Cell type 1_21,257,386.375,209.849,71.7447,388.0,211.0,77.0
5,7.6404,Cell type 1_3,640,534.689,283.609,104.728,537.0,284.0,112.0
5,8.4597,Cell type 1_1,2,181.45,260.802,89.5605,182.0,261.0,98.0
6,2.2238,Cell type 1_4,511,377.969,336.419,138.633,379.0,335.0,140.0
