frame,gt_label,gt_x,gt_y,gt_z,nearest_pred_dist,nearest_pred_name,nearest_pred_x,nearest_pred_y,nearest_pred_z
4,129,214.0,230.0,133.0,49.1828,Cell type 1_1,197.884,246.518,89.5676
4,257,379.0,197.0,91.0,22.1739,Cell type 1_2,384.326,192.537,112.057
4,384,395.0,186.0,133.0,24.3983,Cell type 1_2,384.326,192.537,112.057
5,129,211.0,197.0,133.0,82.6492,Cell type 1_1,181.45,260.802,89.5605
6,129,225.0,193.0,119.0,93.8311,Cell type 1_1,178.85,272.692,101.01
7,129,229.0,171.0,133.0,122.9604,Cell type 1_1,167.636,275.915,114.384
7,512,354.0,331.0,154.0,28.7647,Cell type 1_4,382.186,336.437,155.843
8,129,228.0,151.0,133.0,171.4089,Cell type 1_1,155.707,303.026,100.707
8,609,427.0,349.0,147.0,74.3901,Cell type 1_4,353.909,335.162,146.672
9,129,241.0,140.0,133.0,184.4347,Cell type 1_20,424.686,148.024,147.534
9,609,434.0,352.0,140.0,88.4297,Cell type 1_4,346.372,344.227,148.985
10,129,248.0,138.0,126.0,169.1863,Cell type 1_20,414.619,148.182,153.54
10,609,438.0,359.0,140.0,113.8447,Cell type 1_4,326.633,345.117,159.112
11,129,259.0,143.0,119.0,160.7255,Cell type 1_20,413.99,160.574,157.755
11,609,450.0,355.0,140.0,109.7415,Cell type 1_30,547.393,310.266,116.406
12,129,247.0,140.0,119.0,185.7456,Cell type 1_20,426.169,163.422,162.027
12,609,463.0,352.0,133.0,93.2966,Cell type 1_30,546.177,310.89,123.212
13,129,257.0,146.0,105.0,181.969,Cell type 1_4,305.034,314.091,155.506
13,609,482.0,348.0,140.0,79.4393,Cell type 1_30,551.991,311.172,132.546
14,129,264.0,140.0,105.0,178.7592,Cell type 1_4,307.124,304.944,158.746
14,609,479.0,352.0,140.0,83.2895,Cell type 1_30,556.464,321.798,144.93
15,129,272.0,139.0,98.0,172.3988,Cell type 1_4,307.951,297.294,156.068
15,609,481.0,353.0,140.0,103.8311,Cell type 1_30,578.632,317.773,142.821
16,129,283.0,143.0,91.0,176.47,Cell type 1_4,316.999,303.256,156.603
16,609,478.0,351.0,147.0,105.1679,Cell type 1_30,576.254,315.268,135.613
17,129,301.0,160.0,98.0,152.1703,Cell type 1_4,321.236,297.907,159.057
17,609,475.0,354.0,140.0,100.0941,Cell type 1_30,570.067,323.662,132.209
18,66,167.0,260.0,133.0,20.433,Cell type 1_1,164.242,255.267,113.315
18,129,308.0,168.0,98.0,140.0707,Cell type 1_4,321.611,292.795,160.135
18,448,455.0,196.0,154.0,37.6269,Cell type 1_20,446.29,163.032,138.093
18,609,474.0,363.0,140.0,93.095,Cell type 1_30,561.971,333.298,133.249
19,66,169.0,287.0,147.0,69.0665,Cell type 1_1,149.555,244.964,95.7648
19,130,282.0,153.0,119.0,154.3806,Cell type 1_4,327.823,295.372,157.26
19,193,332.0,156.0,84.0,123.7401,Cell type 1_20,438.123,159.616,147.533
19,448,466.0,222.0,154.0,68.6346,Cell type 1_20,438.123,159.616,147.533
