frame,gt_label,gt_x,gt_y,gt_z,nearest_lumen_dist,candidate_id,candidate_x,candidate_y,candidate_z,candidate_vox,candidate_signal
4,129,214.0,230.0,133.0,1.8992,7,214.765,230.411,134.689,4494,88.0451
4,257,379.0,197.0,91.0,4.9877,6,378.241,196.279,95.8766,4312,89.009
4,384,395.0,186.0,133.0,8.2254,5,393.529,186.878,124.955,4277,96.1691
5,129,211.0,197.0,133.0,1.4641,4,210.164,197.378,131.859,3128,90.3827
6,129,225.0,193.0,119.0,2.6419,3,223.967,191.891,121.164,4679,90.7573
7,129,229.0,171.0,133.0,7.2785,6,227.871,173.747,126.355,3056,92.3334
7,512,354.0,331.0,154.0,2.4495,7,354.541,330.347,156.298,3873,86.3206
8,129,228.0,151.0,133.0,2.3839,3,228.178,152.911,131.586,3673,107.073
8,609,427.0,349.0,147.0,10.6395,10,426.192,346.459,157.3,2783,76.8523
9,129,241.0,140.0,133.0,6.8357,1,243.261,142.292,126.97,3714,116.282
9,609,434.0,352.0,140.0,6.7944,11,435.14,354.635,133.842,3717,61.0352
10,129,248.0,138.0,126.0,7.8041,0,249.714,142.116,119.595,3909,118.168
10,609,438.0,359.0,140.0,3.967,9,437.824,357.102,136.521,3274,75.4646
11,129,259.0,143.0,119.0,3.6446,0,259.345,145.273,116.172,2891,120.916
11,609,450.0,355.0,140.0,1.329,7,449.546,353.751,140.0,2861,93.2489
12,129,247.0,140.0,119.0,5.0019,1,247.769,143.351,115.367,3078,124.565
12,609,463.0,352.0,133.0,3.9589,8,462.225,351.54,129.145,4090,95.8323
13,129,257.0,146.0,105.0,6.2379,0,258.072,150.388,100.698,3665,124.59
13,609,482.0,348.0,140.0,5.5426,8,482.73,345.208,135.268,4387,92.1545
14,129,264.0,140.0,105.0,7.1104,0,265.716,144.833,100.075,2859,125.845
14,609,479.0,352.0,140.0,2.5432,9,479.891,350.57,138.095,2658,90.1274
15,129,272.0,139.0,98.0,1.8216,1,271.795,140.81,98.0,3067,131.995
15,609,481.0,353.0,140.0,3.803,10,480.006,349.843,138.127,3106,93.3237
16,129,283.0,143.0,91.0,3.6638,6,283.778,142.045,94.4505,2212,87.3074
16,609,478.0,351.0,147.0,3.8343,3,476.749,350.665,143.391,3225,93.685
17,129,301.0,160.0,98.0,2.9468,7,302.254,158.612,100.277,3317,79.89
17,609,475.0,354.0,140.0,0.8737,3,474.289,353.501,139.906,3790,97.8927
18,66,167.0,260.0,133.0,12.8591,8,158.357,253.546,126.0,4737,74.7208
18,129,308.0,168.0,98.0,7.5447,9,303.638,162.46,95.3159,1814,72.0698
18,448,455.0,196.0,154.0,8.6181,5,459.218,197.168,146.576,3094,91.778
18,609,474.0,363.0,140.0,1.8009,4,474.465,361.265,140.129,2847,93.8072
