file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z
t053.tif,Cell type 1_410,376.958,324.781,18.325,31.0599,27.9225,25.8054,11.8031,9.88547,10.2628
t053.tif,Cell type 1_411,469.222,310.519,18.88671428571428571428571429,29.4487,24.7987,29.4487,12.5169,7.99288,10.516
t053.tif,Cell type 1_2000,218.226,282.749,9.416214285714285714285714286,28.0547,27.7282,28.0547,11.3706,3.78552,10.4351
t053.tif,Cell type 1_2001,315.166,260.323,8.685314285714285714285714286,29.6719,24.6674,26.58,8.09486,3.11386,8.16163
t053.tif,Cell type 1_2010,320.218,380.961,10.29528571428571428571428571,28.6666,25.1674,28.528,11.0452,6.39062,10.3982
t053.tif,Cell type 1_2011,413.608,383.832,9.621742857142857142857142857,27.9203,25.2225,27.9203,11.2178,3.38232,10.7799
t053.tif,Cell type 1_1000,126.036,251.089,17.21828571428571428571428571,28.1576,29.8081,27.9232,6.86525,7.33137,10.3931
t053.tif,Cell type 1_1001,170.48,200.257,11.24347142857142857142857143,29.5343,24.807,29.5343,7.78734,6.28135,10.4201
t053.tif,Cell type 1_1100,194.051,195.533,22.06971428571428571428571429,30.9487,26.0259,27.5037,9.85559,9.75386,10.9472
t053.tif,Cell type 1_1101,282.352,143.571,21.64728571428571428571428571,28.2583,25.5091,27.0147,9.52549,7.67917,11.1555
t053.tif,Cell type 1_1010,164.466,336.305,17.77285714285714285714285714,30.913,28.9272,28.1826,9.69221,9.40945,7.27552
t053.tif,Cell type 1_1011,234.027,387.264,13.7075,29.4765,30.9413,28.9026,9.29883,10.0392,7.12086
t053.tif,Cell type 1_1110,258.092,145.758,11.29645714285714285714285714,26.7107,32.0255,26.7107,8.22517,7.87319,11.7454
t053.tif,Cell type 1_1111,388.263,146.31,12.30552857142857142857142857,32.7881,25.8674,23.2832,9.40429,9.49401,12.6729
t053.tif,Cell type 1_310,538.296,361.78,21.32171428571428571428571429,23.6824,22.3931,23.1642,6.05494,5.51902,10.8926
t053.tif,Cell type 1_311,575.999,313.745,16.42571428571428571428571429,27.67,24.2214,26.9387,5.1446,6.65806,9.90823
t053.tif,Cell type 1_2100,372.288,120.378,20.23614285714285714285714286,29.9232,28.1683,27.1515,11.3926,5.38464,11.3684
