scope,scope_type,frame_start,frame_end,frame_count,total_cells,metric,n,min,mean,median,max,p01,p05,p25,p75,p95,p99,std,unit,notes
all_verified_frames,all,1,174,172,16277,axis_ratio_major_minor,16277,1.00633,1.32984,1.24719,3.0219,1.03977,1.08172,1.15657,1.42315,1.84826,2.23709,0.255817,ratio,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,cell_count_per_frame,172,4,94.6337,74,324,4,8,24,176.5,235.6,308.9,81.094,cells,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,ellipsoid_volume_px3,16277,1822.57,27712.6,21586.6,447646,6219.5,9129.56,16310.2,31549.5,61943.3,116906,24909.9,px^3,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,major_axis_length_px,16277,19.0892,40.5874,38.9076,100,27.4127,31.2118,35.8036,43.8656,55.0539,68.533,7.8645,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,major_radius_px,16277,9.54459,20.2937,19.4538,50,13.7063,15.6059,17.9018,21.9328,27.5269,34.2665,3.93225,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,middle_axis_length_px,16277,17.1751,36.3068,35.0892,94.9934,23.3362,26.7339,32.2566,39.2328,49.3892,60.4454,7.3595,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,middle_radius_px,16277,8.58754,18.1534,17.5446,47.4967,11.6681,13.367,16.1283,19.6164,24.6946,30.2227,3.67975,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,minor_axis_length_px,16277,10.5667,31.506,31.2638,90,15.9354,19.4923,26.2652,35.3428,44.7862,57.2492,8.20835,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,minor_radius_px,16277,5.28336,15.753,15.6319,45,7.9677,9.74616,13.1326,17.6714,22.3931,28.6246,4.10418,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,nearest_neighbor_distance_3d_px,16277,6.8467,44.3486,40.013,219.508,23.737,27.5096,34.2477,49.5283,75.6738,104.376,16.6555,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,nearest_neighbor_distance_xy_px,16277,0.261222,19.6696,16.2719,219.426,2.18631,4.50563,10.5816,23.7472,45.3431,77.9258,15.8576,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,neighbors_within_30px_3d,16277,0,0.12103,0,4,0,0,0,0,1,2,0.37815,count,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,neighbors_within_40px_3d,16277,0,0.88751,0,9,0,0,0,1,3,5,1.15343,count,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,neighbors_within_50px_3d,16277,0,2.50906,2,15,0,0,1,4,7,9,2.221,count,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,pairwise_center_distance_3d_px,1327594,6.8467,209.453,202.719,506.877,45.2015,71.7995,137.798,273.891,371.389,428.707,91.5248,px,verified output only; failed or incomplete run folders excluded
all_verified_frames,all,1,174,172,16277,pairwise_center_distance_xy_px,1327594,0.261222,199.408,194.122,505.733,25.4064,52.4918,124.02,267.986,367.651,426.166,96.3496,px,verified output only; failed or incomplete run folders excluded
