file,frame,label_id,x,y,z_raw,z_interp,voxel_count,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max,start_frame,end_frame,parent_label
t080.tif,80,5,118.0,266.0,15.0,105.0,75,116,120,264,268,14,16,60,86,4
t080.tif,80,20,163.0,273.0,22.0,154.0,75,161,165,271,275,21,23,60,87,4
t080.tif,80,36,153.0,202.0,13.0,91.0,75,151,155,200,204,12,14,60,86,35
t080.tif,80,51,231.0,238.0,16.0,112.0,75,229,233,236,240,15,17,60,87,35
t080.tif,80,68,162.0,335.0,15.0,105.0,75,160,164,333,337,14,16,59,85,67
t080.tif,80,83,210.0,375.0,20.0,140.0,75,208,212,373,377,19,21,59,86,67
t080.tif,80,99,223.0,392.0,14.0,98.0,75,221,225,390,394,13,15,60,88,98
t080.tif,80,114,306.0,387.0,17.0,119.0,75,304,308,385,389,16,18,60,87,98
t080.tif,80,132,158.0,192.0,22.0,154.0,75,156,160,190,194,21,23,58,86,131
t080.tif,80,147,224.0,199.0,24.0,168.0,75,222,226,197,201,23,25,58,84,131
t080.tif,80,163,230.0,132.0,20.0,140.0,75,228,232,130,134,19,21,59,86,162
t080.tif,80,178,309.0,136.0,24.0,168.0,75,307,311,134,138,23,25,59,86,162
t080.tif,80,195,221.0,165.0,11.0,77.0,75,219,223,163,167,10,12,60,85,194
t080.tif,80,210,284.0,198.0,17.0,119.0,75,282,286,196,200,16,18,60,85,194
t080.tif,80,226,317.0,162.0,10.0,70.0,75,315,319,160,164,9,11,61,87,225
t080.tif,80,241,385.0,177.0,16.0,112.0,75,383,387,175,179,15,17,61,88,225
t080.tif,80,260,196.0,279.0,10.0,70.0,75,194,198,277,281,9,11,58,84,259
t080.tif,80,275,259.0,332.0,12.0,84.0,75,257,261,330,334,11,13,58,83,259
t080.tif,80,291,260.0,250.0,10.0,70.0,75,258,262,248,252,9,11,59,86,290
t080.tif,80,306,344.0,319.0,11.0,77.0,75,342,346,317,321,10,12,59,85,290
t080.tif,80,323,303.0,393.0,10.0,70.0,75,301,305,391,395,9,11,59,87,322
t080.tif,80,338,396.0,416.0,15.0,105.0,75,394,398,414,418,14,16,59,85,322
t080.tif,80,354,404.0,362.0,9.0,63.0,75,402,406,360,364,8,10,60,89,353
t080.tif,80,369,457.0,391.0,13.0,91.0,75,455,459,389,393,12,14,60,88,353
t080.tif,80,387,309.0,108.0,15.0,105.0,75,307,311,106,110,14,16,59,86,386
t080.tif,80,402,377.0,133.0,22.0,154.0,75,375,379,131,135,21,23,59,84,386
t080.tif,80,418,427.0,115.0,14.0,98.0,75,425,429,113,117,13,15,59,84,417
t080.tif,80,433,496.0,169.0,18.0,126.0,75,494,498,167,171,17,19,59,85,417
t080.tif,80,450,455.0,123.0,23.0,161.0,75,453,457,121,125,22,24,59,86,449
t080.tif,80,465,518.0,179.0,25.0,175.0,75,516,520,177,181,24,26,59,85,449
t080.tif,80,481,559.0,161.0,18.0,126.0,75,557,561,159,163,17,19,60,88,480
t080.tif,80,496,579.0,230.0,22.0,154.0,75,577,581,228,232,21,23,60,86,480
t080.tif,80,515,193.0,311.0,25.0,175.0,75,191,195,309,313,24,26,68,96,514
t080.tif,80,530,290.0,315.0,24.0,168.0,75,288,292,313,317,23,25,68,96,514
t080.tif,80,542,321.0,392.0,23.0,161.0,75,319,323,390,394,22,24,70,97,541
t080.tif,80,557,445.0,394.0,25.0,175.0,75,443,447,392,396,24,26,70,100,541
t080.tif,80,566,292.0,236.0,25.0,175.0,75,290,294,234,238,24,26,69,98,565
t080.tif,80,579,390.0,264.0,25.0,175.0,75,388,392,262,266,24,26,69,97,565
t080.tif,80,591,405.0,192.0,25.0,175.0,75,403,407,190,194,24,26,71,100,590
t080.tif,80,602,472.0,275.0,26.0,182.0,75,470,474,273,277,25,27,71,102,590
t080.tif,80,611,395.0,368.0,21.0,147.0,75,393,397,366,370,20,22,61,105,610
t080.tif,80,618,380.0,298.0,17.0,119.0,75,378,382,296,300,16,18,61,101,610
t080.tif,80,626,489.0,324.0,18.0,126.0,75,487,491,322,326,17,19,64,107,625
t080.tif,80,633,459.0,244.0,17.0,119.0,75,457,461,242,246,16,18,64,104,625
t080.tif,80,644,351.0,230.0,10.0,70.0,75,349,353,228,232,9,11,80,110,643
t080.tif,80,651,408.0,244.0,11.0,77.0,75,406,410,242,246,10,12,80,117,643
t080.tif,80,656,490.0,315.0,9.0,63.0,75,488,492,313,317,8,10,52,84,642
t080.tif,80,673,462.0,164.0,10.0,70.0,75,460,464,162,166,9,11,80,112,672
t080.tif,80,680,481.0,215.0,11.0,77.0,75,479,483,213,217,10,12,80,111,672
t080.tif,80,687,554.0,262.0,12.0,84.0,75,552,556,260,264,11,13,52,81,671
t080.tif,80,704,536.0,367.0,16.0,112.0,75,534,538,365,369,15,17,66,108,703
t080.tif,80,711,581.0,293.0,21.0,147.0,75,579,583,291,295,20,22,66,105,703
t080.tif,80,718,537.0,358.0,24.0,168.0,75,535,539,356,360,23,25,35,88,702
