file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t084.tif,Cell type 1_310,524.887,354.5,166.139,16.8286,21.2463,16.8286,9.64222,8.30528,13.1284
t084.tif,Cell type 1_3001,492.673,331.276,66.517,13.5825,18.5033,11.6957,2.91844,6.97284,10.2006
t084.tif,Cell type 1_20000,202.853,280.664,64.1823,21.3307,21.9188,21.3307,13.2356,5.36648,11.3534
t084.tif,Cell type 1_11000,158.761,199.522,137.817,24.7552,20.9361,21.9983,12.9099,12.9694,14.0363
t084.tif,Cell type 1_11001,222.084,214.54,166.695,25.1847,20.1345,21.0309,13.0493,9.97487,14.16
t084.tif,Cell type 1_20100,314.422,390.106,69.536,21.857,19.8416,21.7602,14.1202,9.36746,13.8731
t084.tif,Cell type 1_20101,385.287,407.769,107.232,22.6046,20.1191,22.2355,13.9862,9.42728,12.6866
t084.tif,Cell type 1_10010,152.288,206.685,82.294,22.9594,18.423,22.9074,11.7,9.70961,14.207
t084.tif,Cell type 1_10011,241.94,255.589,99.0814,23.4457,19.7419,22.7822,11.0358,9.7038,13.8115
t084.tif,Cell type 1_21010,416.66,106.044,99.4248,21.8231,21.7994,21.0037,13.556,6.3325,11.91
t084.tif,Cell type 1_21011,497.318,168.3,112.223,21.4914,21.9665,21.0028,13.1777,6.31408,12.4763
t084.tif,Cell type 1_10100,162.333,342.843,100.792,23.6324,22.5734,21.7059,12.724,13.4897,9.52696
t084.tif,Cell type 1_10101,228.012,378.59,135.374,24.7252,22.7864,21.5836,12.8849,12.4919,9.99024
t084.tif,Cell type 1_21100,456.043,127.437,157.52,20.4101,19.5193,20.4044,15.9107,11.3854,16.9032
t084.tif,Cell type 1_21101,516.145,177.341,159.697,20.6997,19.9254,20.6997,14.1397,12.276,14.1294
t084.tif,Cell type 1_11010,231.843,148.177,140.031,22.1649,20.2466,21.2184,10.9875,9.83625,14.6242
t084.tif,Cell type 1_11011,308.975,140.214,161.931,22.1432,20.2466,20.7974,13.359,10.8978,14.086
t084.tif,Cell type 1_10000,123.091,269.009,102.379,22.1922,23.4886,21.4478,9.4677,9.57751,12.4987
t084.tif,Cell type 1_10001,180.73,284.154,134.673,22.156,23.6587,20.9989,9.57245,9.54015,12.3415
t084.tif,Cell type 1_21000,306.538,115.515,107.316,23.2409,22.2587,20.1455,12.6246,6.47947,14.2827
t084.tif,Cell type 1_21001,374.813,125.821,154.367,23.2187,22.2412,21.5852,13.7046,7.28262,14.5123
t084.tif,Cell type 1_20010,282.1,242.442,56.5684,22.4784,19.4381,20.0329,11.099,3.20056,9.79096
t084.tif,Cell type 1_20011,367.09,306.047,63.1084,23.2661,18.9093,20.9629,11.1008,3.22823,9.62132
t084.tif,Cell type 1_10110,235.787,394.826,91.2446,23.2136,24.5581,22.94,11.3446,11.9123,8.06309
t084.tif,Cell type 1_10111,308.31,377.633,118.124,22.0339,23.8345,22.0339,10.8107,11.5291,7.90718
t084.tif,Cell type 1_11100,209.147,159.948,80.7434,20.0332,24.7558,19.7763,9.84511,10.2008,15.4904
t084.tif,Cell type 1_11101,280.563,190.642,113.349,21.1479,25.1537,20.5362,9.27126,9.69253,14.4068
t084.tif,Cell type 1_20110,393.731,373.718,61.6818,21.4916,19.5742,20.8454,10.9479,3.13759,12.3934
t084.tif,Cell type 1_20111,456.587,389.02,92.1842,21.9021,19.8994,21.6405,13.3925,4.02318,12.8098
t084.tif,Cell type 1_21110,557.076,154.372,120.212,21.5902,20.665,20.003,14.7686,13.2561,17.1376
t084.tif,Cell type 1_21111,579.134,232.432,146.995,21.31,20.6407,19.9163,14.3948,12.924,15.9047
t084.tif,Cell type 1_4100,376.569,283.841,114.671,24.9091,22.0718,19.2614,12.8715,9.70914,13.1753
t084.tif,Cell type 1_4101,405.496,344.228,146.119,23.486,21.7104,19.9296,15.5352,12.4652,14.359
t084.tif,Cell type 1_11110,315.261,165.234,70.1955,25.8384,20.5752,18.4267,9.53289,9.64406,15.0334
t084.tif,Cell type 1_11111,387.336,186.592,98.8094,23.9754,20.1576,16.4477,9.32609,12.3331,16.9924
t084.tif,Cell type 1_4110,488.501,319.757,122.882,22.6051,19.3009,22.5413,17.2689,9.52345,12.6724
t084.tif,Cell type 1_4111,458.158,243.666,116.142,22.8757,19.4582,22.8757,14.5426,9.62183,13.6587
t084.tif,Cell type 1_3110,536.942,378.633,111.471,20.6139,18.5244,19.9155,7.91844,9.5191,13.1957
t084.tif,Cell type 1_3111,573.427,304.109,133.455,21.0741,19.2112,19.3644,7.0531,8.79061,13.1825
t084.tif,Cell type 1_40000,193.486,317.824,172.831,16.0665,19.8018,15.4825,14.8796,11.4763,17.5662
t084.tif,Cell type 1_40001,281.574,325.249,165.753,15.8017,19.9757,15.8017,15.0622,11.9642,16.7696
t084.tif,Cell type 1_40100,295.572,227.516,159.798,14.6899,20.5657,12.0699,16.9358,12.3535,18.3291
t084.tif,Cell type 1_40101,372.909,265.166,167.039,15.846,20.725,12.2213,15.3071,13.7587,19.6491
t084.tif,Cell type 1_40010,336.639,390.243,164.254,19.5212,20.4565,18.3853,16.6172,10.0245,15.9586
t084.tif,Cell type 1_40011,443.257,398.014,168.837,18.7737,20.5461,18.0757,15.3115,9.79778,16.2802
t084.tif,Cell type 1_40110,404.295,202.151,163.618,17.1943,20.907,8.21351,14.8025,11.2253,14.5987
t084.tif,Cell type 1_40111,476.162,250.941,170.813,17.2722,20.7862,7.56138,16.5723,13.6292,16.9543
t084.tif,Cell type 1_30000,367.261,222.553,61.6653,10.2196,19.0004,10.2196,3.04087,9.48711,13.8114
t084.tif,Cell type 1_30001,451.957,252.58,63.9421,10.397,18.886,9.97703,3.29576,9.38681,13.3401
t084.tif,Cell type 1_30100,457.81,155.933,55.9495,10.3571,19.4887,9.35913,11.5401,11.4812,14.0147
t084.tif,Cell type 1_30101,504.901,237.114,49.7652,10,19.444,9.28034,12.4691,11.318,14.9462
t084.tif,Cell type 1_30110,572.257,282.131,81.9824,13.6122,17.4892,8.66991,6.8327,7.66658,14.5967
t084.tif,Cell type 1_30111,569.86,214.274,72.8393,13.8326,17.3936,8.62847,6.57099,8.3046,14.9407
t084.tif,Cell type 1_200010,236.323,343.861,67.3653,16.9528,17.4677,16.0392,13.0209,4.0257,12.9544
t084.tif,Cell type 1_200011,293.471,321.198,71.8441,16.4282,16.9522,16.1836,13.0699,4.10038,13.1178
