file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t086.tif,Cell type 1_310,514.738,353.017,169.081,38.5489,35.6068,32.5627,0.872564,-0.662533,-2.18923
t086.tif,Cell type 1_11000,156.53,193.077,138.871,42.0052,37.2936,33.4586,1.45366,0.140659,1.62885
t086.tif,Cell type 1_20100,313.987,391.53,72.179,36.8679,33.715,30.6332,-0.151283,-0.335198,1.1661
t086.tif,Cell type 1_20101,377.365,411.928,111.685,41.2289,38.4525,33.7811,-0.584479,-1.01423,0.584798
t086.tif,Cell type 1_10010,158.79,205.404,82.22,35.8322,33.3979,32.7459,-2.00943,-0.45724,1.16888
t086.tif,Cell type 1_10011,248.592,253.217,101.855,38.2949,35.0607,33.402,-1.37565,-0.526244,1.30596
t086.tif,Cell type 1_21011,497.593,176.561,106.944,38.9137,33.6505,32.3003,-1.4041,0.882422,-0.59598
t086.tif,Cell type 1_10100,156.151,345.783,107.541,42.5018,37.9356,33.9466,-1.17239,-1.32204,0.902331
t086.tif,Cell type 1_10101,224.879,378.293,145.767,44.28,39.9829,36.0604,-0.559315,-1.20686,0.645307
t086.tif,Cell type 1_21100,465.08,129.223,154.456,39.965,36.8606,33.2877,-2.03197,0.87839,-1.05219
t086.tif,Cell type 1_21101,521.081,185.631,169.317,42.117,39.5804,36.6705,-2.42511,1.17023,-1.26039
t086.tif,Cell type 1_11010,237.978,145.654,146.863,42.9026,37.2019,34.0523,-1.46226,-1.2053,0.953856
t086.tif,Cell type 1_11011,316.786,141.93,164.514,43.5171,39.0067,35.4272,-1.49296,1.33136,-1.38247
t086.tif,Cell type 1_10000,119.616,270.645,105.897,40.2944,39.9026,29.6339,-1.04576,-0.943222,0.984505
t086.tif,Cell type 1_10001,185.779,275.792,133.555,39.7183,37.0224,33.799,-0.4642,1.02416,1.22005
t086.tif,Cell type 1_21000,312.213,114.303,111.367,37.9573,35.8711,34.5376,-1.15688,-0.293289,-0.0026478
t086.tif,Cell type 1_20010,293.242,252.294,61.274,37.183,33.4877,30.3013,-1.9445,0.756018,-1.697
t086.tif,Cell type 1_20011,362.233,308.669,67.6504,39.6687,32.902,30.3185,1.14108,-0.351889,1.61567
t086.tif,Cell type 1_10110,233.673,390.87,91.1278,36.3381,35.4782,33.1173,-0.6507,-0.557223,0.883908
t086.tif,Cell type 1_10111,302.273,372.306,118.613,37.6448,35.7897,34.7208,-0.174149,0.54954,-0.398323
t086.tif,Cell type 1_11100,213.777,160.931,79.7728,49.1228,37.2492,31.8624,1.17531,0.406617,0.428873
t086.tif,Cell type 1_11101,271.826,188.424,120.444,38.251,36.7795,32.3465,-0.548059,-0.910094,0.511982
t086.tif,Cell type 1_20110,390.375,378.709,65.839,35.3742,32.5525,30.6158,2.08862,0.234794,1.05719
t086.tif,Cell type 1_20111,456.658,388.983,95.9599,37.7517,34.4239,32.7848,-0.535813,1.29695,-0.965604
t086.tif,Cell type 1_21110,559.599,157.455,123.79,38.662,35.7369,30.4551,0.520595,1.38866,-0.353269
t086.tif,Cell type 1_21111,574.052,236.12,144.155,42.7996,39.3978,30.7013,0.733841,1.35271,-0.738256
t086.tif,Cell type 1_4100,373.854,280.773,114.377,38.4174,36.4918,33.267,0.271746,0.137218,0.181942
t086.tif,Cell type 1_4101,397.064,335.909,150.066,43.9105,38.8001,36.7209,0.830562,-1.25227,-0.587583
t086.tif,Cell type 1_11110,321.164,166.492,71.4744,38.5316,33.2501,31.3401,-0.877498,-0.851021,1.26881
t086.tif,Cell type 1_11111,390.247,189,99.0643,36.8509,34.0633,31.6623,0.255005,0.662153,-0.162141
t086.tif,Cell type 1_4110,478.149,321.415,127.605,39.6326,37.1937,36.2636,1.45991,1.22284,-1.07714
t086.tif,Cell type 1_4111,458.456,244.847,117.134,38.0344,34.6391,33.8652,-0.285668,0.328243,-0.546652
t086.tif,Cell type 1_3110,522.254,383.005,119.231,36.0077,33.2377,31.71,0.704315,0.751884,-0.553394
t086.tif,Cell type 1_3111,567.664,304.777,137.189,39.6691,35.3914,34.4896,2.7795,-1.38888,-1.13253
t086.tif,Cell type 1_40000,194.391,311.235,172.907,36.2487,33.3432,31.1285,-1.51989,0.639516,-1.15939
t086.tif,Cell type 1_40001,271.19,318.279,162.338,37.1769,33.4442,31.2008,1.60585,0.780964,1.4207
t086.tif,Cell type 1_40100,300.447,235.298,160.945,35.9895,32.3525,27.241,-1.7704,0.196141,-1.71844
t086.tif,Cell type 1_40101,372.851,263.911,164.487,37.4041,33.2233,27.3811,1.04325,1.19345,-2.68885
t086.tif,Cell type 1_40010,329.308,385.49,171.417,39.8652,36.8936,34.0469,-1.2423,1.15353,0.238225
t086.tif,Cell type 1_40011,442.195,394.65,170.011,39.3672,34.3529,31.2241,2.57321,1.40693,1.35399
t086.tif,Cell type 1_40110,408.889,196.143,170.392,35.0336,32.0868,21.6136,0.381948,0.575809,1.17634
t086.tif,Cell type 1_40111,482.286,248.917,172.414,35.8305,33.4606,19.926,0.521904,0.419152,-1.52561
t086.tif,Cell type 1_30000,377.208,213.158,61.6182,28.1159,24.1084,22.4909,2.37011,-0.124876,-0.659802
t086.tif,Cell type 1_30001,456.332,259.186,61.7354,25.7347,22.4766,21.5387,-1.18137,-0.436121,1.58364
t086.tif,Cell type 1_30100,464.594,159.749,55.5602,27.7872,24.3325,21.1059,-0.128108,-0.368625,-1.01239
t086.tif,Cell type 1_30101,516.36,244.802,53.6973,26.4511,22.9183,20.474,0.40796,0.0719475,-1.11448
t086.tif,Cell type 1_30110,571.917,295.606,82.0313,27.0388,25.3499,20.4322,-0.733138,0.93893,-1.33993
t086.tif,Cell type 1_30111,576.271,220.023,72.3258,25.4236,24.2269,20.168,-0.416491,0.761121,2.30188
t086.tif,Cell type 1_200010,227.871,344.833,64.0587,32.3263,27.8544,24.2269,1.04727,0.800889,1.15023
t086.tif,Cell type 1_200011,292.792,326.539,72.6767,31.8574,31.4124,25.3438,1.32367,1.14682,0.748154
t086.tif,Cell type 1_110010,248.772,212.655,163.575,44.3035,35.9238,30.3536,1.81221,1.50253,2.12313
t086.tif,Cell type 1_110011,189.478,204.882,172.936,38.9011,35.1492,32.1285,0.817441,1.32459,1.00868
t086.tif,Cell type 1_200000,175.118,290.909,70.7096,35.7676,31.699,28.3672,-1.27554,-0.854369,1.0089
t086.tif,Cell type 1_200001,219.738,271.6,61.864,32.781,30.9035,25.9024,-1.67491,-0.737582,1.2005
t086.tif,Cell type 1_210010,396.515,151.578,137.326,37.2828,34.6347,29.4086,1.01864,-0.919072,0.274596
t086.tif,Cell type 1_210011,376.767,116.216,158.364,40.9558,37.2694,28.9897,2.82003,1.07568,-2.23173
t086.tif,Cell type 1_210100,418.168,99.2,109.805,36.6311,30.0192,27.0015,2.02855,1.41674,-3.13977
t086.tif,Cell type 1_210101,453.281,123.224,95.2548,35.184,33.4325,25.9828,0.686698,-1.17743,0.0796967
t086.tif,Cell type 1_30010,460.459,336.415,56.3102,25.2573,22.5919,16.923,-0.226949,1.2661,-0.606182
t086.tif,Cell type 1_30011,512.014,323.759,73.4514,26.9153,22.8334,16.4899,1.33008,0.877021,1.13146
