file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t042.tif,Cell type 1_400,288.138,345.232,146.592,30.6368,29.34,24.2558,-0.381655,0.271383,-0.794188,0
t042.tif,Cell type 1_401,361.919,247.879,153.061,30.2447,27.8095,24.8377,-0.594898,-1.36867,0.216284,0
t042.tif,Cell type 1_410,392.883,388.089,144.867,30.1666,28.9762,24.457,-1.38675,-0.0071964,-2.13256,0
t042.tif,Cell type 1_411,482.391,334,117.943,30.0675,27.1416,25.1888,0.571406,0.0228987,0.907109,0
t042.tif,Cell type 1_300,427.995,250.9,63.5698,27.8129,27.2365,21.7872,0.0894874,-0.0368393,1.74505,0
t042.tif,Cell type 1_301,537.573,234.434,86.6396,27.6303,26.812,23.6889,-0.0269608,-0.00492543,-0.98309,0
t042.tif,Cell type 1_2000,201.954,271.863,65.1273,26.9709,25.1307,22.3289,0.0861046,-0.156391,-0.676524,0
t042.tif,Cell type 1_2001,318.415,275.523,64.6665,26.4422,24.5348,20.776,0.0491019,0.0499578,0.0150012,0
t042.tif,Cell type 1_2010,305.674,388.775,75.0742,26.2416,24.5911,21.762,-0.173776,-0.179709,1.17924,0
t042.tif,Cell type 1_2011,424.867,370.498,66.0533,25.2521,23.7188,21.1398,0.00757705,0.382687,-1.1283,0
t042.tif,Cell type 1_1000,128.093,251.586,142.398,26.4192,25.5497,22.7383,0.401042,-0.0158119,-1.26634,0
t042.tif,Cell type 1_1001,163.866,192.866,74.9921,25.6925,24.8334,22.1818,-0.0145907,0.0718103,1.01954,0
t042.tif,Cell type 1_1100,211.086,198.026,152.133,26.7968,26.0824,24.0625,-0.10594,0.480282,-0.499141,0
t042.tif,Cell type 1_1101,293.951,154.852,156.564,26.6378,25.5312,22.9765,-0.133247,0.0917267,1.45393,0
t042.tif,Cell type 1_1010,168.279,337.836,156.118,26.4425,25.3206,24.0028,-0.509284,-0.152962,0.259207,0
t042.tif,Cell type 1_1011,215.462,385.908,95.2418,26.417,25.5985,22.5044,0.0187497,-0.16081,0.0455017,0
t042.tif,Cell type 1_1110,248.322,150.924,88.6598,26.229,24.9948,22.369,0.179836,-0.0133716,0.68235,0
t042.tif,Cell type 1_1111,389.168,157.818,71.7776,25.6777,24.7437,21.2085,-0.123362,-0.0778889,0.169035,0
t042.tif,Cell type 1_310,530.429,367.669,154.299,25.3161,22.4076,21.9749,2.48108,1.25834,1.46846,0
t042.tif,Cell type 1_311,586.155,306.595,115.983,24.9025,24.3904,21.738,0.0127062,-0.316043,-1.35929,0
t042.tif,Cell type 1_2100,382.173,109.418,140.143,26.2263,23.5657,23.0555,-0.346662,0.0257321,1.22085,0
t042.tif,Cell type 1_2101,499.969,143.458,114.658,25.8606,23.9748,23.0053,-0.164544,0.358062,-0.959209,0
t042.tif,Cell type 1_2110,467.084,176.491,170.967,25.5271,24.7303,24.3588,0,0,0,0
t042.tif,Cell type 1_2111,557.74,243.501,160.944,25.3226,24.6722,24.3805,0,0,0,0
