file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t155.tif,t120_cell_001,352.76,103.9,88.5557,18.9117,16.7507,15.7643,-0.71768,-0.100853,0.214635,0
t155.tif,t120_cell_002,285.385,108.008,113.334,19.3053,17.7101,16.594,-0.268574,0.607615,-0.237059,0
t155.tif,t120_cell_004,403.34,102.779,96.6514,20.0669,18.6015,17.3214,0.608334,-0.816153,0.591794,0
t155.tif,t120_cell_006,348.338,97.75,118.214,19.6226,18.3189,17.0078,-0.793784,0.101076,0.240771,0
t155.tif,t120_cell_011,515.569,135.603,79.7629,18.441,16.5982,16.0298,-0.682058,0.302954,0.851855,0
t155.tif,t120_cell_013,481.224,132.999,160.038,20.6513,18.5645,17.0388,0.689156,-0.20656,1.08697,0
t155.tif,t120_cell_016,283.678,132.285,149.628,20.5954,19.675,17.8938,2.2978,-0.880722,-1.58924,0
t155.tif,t120_cell_017,371.868,180.781,171.618,22.2615,19.9244,17.886,-0.756303,0.911218,-0.385906,0
t155.tif,t120_cell_018,553.172,151.384,109.235,18.19,17.8268,15.7693,-2.00632,-0.927275,1.57515,0
t155.tif,t120_cell_019,518.815,155.979,167.033,21.6396,20.5087,18.5395,1.48429,-0.896106,0.439046,0
t155.tif,t120_cell_020,209.739,172.188,170.852,21.1571,19.9355,17.1463,0.878832,1.38159,0.141473,0
t155.tif,t120_cell_021,249.703,146.953,159.805,19.5865,19.1257,17.2673,-0.540666,-0.117745,-0.551218,0
t155.tif,t120_cell_022,415.122,164.92,185.779,26.6171,22.2702,21.0649,-2.92399,-1.14497,0.107091,0
t155.tif,t120_cell_026,260.326,224.558,50.3077,16.4523,15.6183,14.795,-0.726696,-0.237617,0.0161646,0
t155.tif,t120_cell_027,467.557,223.021,51.6608,19.2685,17.9852,15.7201,0.0114296,0.235058,1.14599,0
t155.tif,t120_cell_030,191.205,181.586,65.526,18.3755,16.7289,15.4418,0.61118,-0.120213,-0.873039,0
t155.tif,t120_cell_031,221.58,235.02,49.6655,16.9454,16.3839,15.7893,0.231577,0.0958287,1.59078,0
