file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t000.tif,Drosophila_1,667.0,497.0,39.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_2,658.0,501.0,42.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_7,751.0,510.0,59.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_10,726.0,463.0,41.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_13,681.0,487.0,37.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_18,706.0,496.0,44.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_23,503.0,495.0,27.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_28,778.0,463.0,45.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_33,631.0,528.0,52.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_36,525.0,512.0,34.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_37,645.0,487.0,35.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_40,729.0,483.0,43.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_45,626.0,507.0,40.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_46,772.0,490.0,57.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_49,655.0,523.0,54.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_52,684.0,493.0,44.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_57,535.0,500.0,34.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_58,668.0,526.0,68.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_63,698.0,517.0,56.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_68,692.0,518.0,69.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_71,549.0,501.0,33.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_76,753.0,478.0,46.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_77,715.0,513.0,59.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_82,660.0,528.0,65.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_87,710.0,509.0,74.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_90,526.0,539.0,64.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_95,766.0,472.0,46.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_100,746.0,488.0,49.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_105,797.0,463.0,48.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_110,790.0,485.0,53.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_111,816.0,458.0,48.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_114,473.0,496.0,28.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_117,813.0,480.0,57.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_120,776.0,501.0,64.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_123,591.0,486.0,32.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_128,556.0,515.0,38.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_133,604.0,493.0,34.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_138,578.0,506.0,41.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_141,919.0,441.0,60.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_142,448.0,490.0,24.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_147,612.0,509.0,39.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_152,890.0,458.0,61.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_157,485.0,524.0,37.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_158,591.0,537.0,62.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_161,872.0,449.0,53.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_166,610.0,529.0,50.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_171,930.0,450.0,65.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_172,856.0,460.0,86.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_175,439.0,498.0,27.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_180,852.0,471.0,84.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_185,942.0,445.0,66.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_188,979.0,430.0,70.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_189,499.0,545.0,49.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_194,606.0,533.0,61.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_201,953.0,438.0,66.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_206,979.0,440.0,78.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_211,447.0,545.0,60.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_218,820.0,493.0,74.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_221,953.0,446.0,81.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_224,992.0,422.0,69.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
t000.tif,Drosophila_227,598.0,515.0,74.0,10.0,10.0,6.27870729051429,0.0,0.0,0.0
