file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
frame065.tif,e3d03428900d4123ae24ac57ad695c8d,120.912,266.491,7.759357142857,38.4087,29.3401,22.8945,0.457222,1.3314,1.50082
frame065.tif,8cbdf86d308d4599936e7fdbc23375f5,341.296,259.274,32.000000000000,27.6771,25.0077,23.7741,-1.49473,-0.608595,3.21245
frame065.tif,1f89abf484c94c498a23cad71ebee0cb10,227.456,292.522,17.949714285714,41.4303,34.9149,29.7161,0.56542,1.40811,-1.13796
frame065.tif,1f89abf484c94c498a23cad71ebee0cb11,322.815,320.598,13.978785714286,45.984,36.0881,32.8227,1.15436,1.46196,0.500959
frame065.tif,1f2ed10d323c4cb288424e988893788f00,393.707,317.277,17.808142857143,41.9343,30.3121,28.5634,2.44666,1.38873,-1.34961
frame065.tif,1f2ed10d323c4cb288424e988893788f01,339.402,354.33,23.699714285714,42.3472,29.5104,26.5813,1.63063,1.34303,-2.07098
frame065.tif,12345679342524354354502034985234110,114.851,127.321,21.969285714286,35.7567,28.3346,24.6069,-2.60577,1.43504,2.12815
frame065.tif,12345679342524354354502034985234111,160.428,116.369,14.270357142857,38.7997,30.562,26.9589,-2.92938,1.50731,1.79307
frame065.tif,12345679342524354354502034985234100,76.2611,200.297,16.129571428571,39.8687,30.2698,25.4391,-1.26156,1.56445,0.309839
frame065.tif,12345679342524354354502034985234101,78.9749,280.981,12.603642857143,36.804,24.6506,19.3312,3.06777,1.53838,-1.85604
frame065.tif,12345679342524354354502034985234000,191.707,132.456,22.698000000000,35.0218,27.6141,21.5378,-1.61786,0.430986,-1.58636
frame065.tif,12345679342524354354502034985234001,261.019,164.303,22.615857142857,38.4924,26.1422,19.6159,2.18852,1.48134,0.402678
frame065.tif,e9077677575842b1a2925729fbcfb3a5000,166.519,325.319,10.193171428571,39.8335,29.8224,25.5472,2.7081,1.33929,0.426563
frame065.tif,e9077677575842b1a2925729fbcfb3a5001,239.351,332.445,7.000000000000,42.9814,29.8343,26.9686,-0.346391,1.5055,0.783333
frame065.tif,12345679342524354354502034985234010,306.533,135.615,8.629328571429,41.2535,32.6144,30.9021,2.4489,-1.34285,-1.82675
frame065.tif,12345679342524354354502034985234011,227.802,107.333,8.519100000000,41.3098,33.3205,25.9535,0.785124,-1.32185,-3.02634
frame065.tif,e9077677575842b1a2925729fbcfb3a5100,318.491,230.568,21.791571428571,42.9903,27.2722,25.7635,2.10377,-1.11461,0.753382
frame065.tif,e9077677575842b1a2925729fbcfb3a5101,406.252,241.573,22.498285714286,42.2634,30.651,22.2292,1.73871,0.169389,-1.46275
frame065.tif,1f89abf484c94c498a23cad71ebee0cb000,129.412,210.48,24.605428571429,30.9197,25.2521,23.0734,-0.9108,1.572,2.84945
frame065.tif,1f89abf484c94c498a23cad71ebee0cb001,111.396,301.512,21.777428571429,36.5981,27.351,25.6803,1.42661,1.49585,-0.402658
frame065.tif,1f89abf484c94c498a23cad71ebee0cb010,165.365,294.836,25.140285714286,34.28,25.3332,22.606,1.91719,1.48586,-0.458768
frame065.tif,1f89abf484c94c498a23cad71ebee0cb011,281.686,299.792,26.556285714286,45.7405,31.8265,21.0294,1.50811,0.891623,-2.71316
frame065.tif,1f2ed10d323c4cb288424e988893788f110,273.025,193.414,11.994514285714,35.12,25.6102,22.2203,0.783036,1.64081,3.01097
frame065.tif,1f2ed10d323c4cb288424e988893788f111,319.675,279.943,5.907400000000,39.421,30.5834,24.0647,1.2979,1.19892,-1.63822
frame065.tif,1f2ed10d323c4cb288424e988893788f100,394.473,292.318,8.453800000000,34.6154,28.1315,23.1628,1.18282,1.43442,-0.895206
frame065.tif,1f2ed10d323c4cb288424e988893788f101,361.76,196.16,6.235657142857,33.5869,27.6865,23.2772,-0.674766,1.4628,-3.02322
frame065.tif,e9077677575842b1a2925729fbcfb3a51110,378.839,145.49,16.465285714286,27.9458,20.176,14.4439,-2.16883,1.43715,-1.07405
frame065.tif,e9077677575842b1a2925729fbcfb3a51111,401.575,191.914,15.868000000000,27.7447,20.597,15.4651,1.81868,1.57667,3.04511
frame065.tif,e9077677575842b1a2925729fbcfb3a51100,287.834,97.1343,17.818000000000,28.7632,21.5608,14.9027,0.0459134,-1.22921,-2.69923
frame065.tif,e9077677575842b1a2925729fbcfb3a51101,321.687,121.142,21.235571428571,31.9142,20.529,14.8686,-0.729111,-1.43692,-1.82836
frame065.tif,e9077677575842b1a2925729fbcfb3a50100,140.432,199.231,8.260700000000,31.5009,21.9372,17.3617,2.1293,1.30085,0.497439
frame065.tif,e9077677575842b1a2925729fbcfb3a50101,129.45,148.161,5.880600000000,29.9776,22.7888,17.3617,2.01942,1.26544,0.29787
frame065.tif,e9077677575842b1a2925729fbcfb3a50110,223.233,249.351,9.202142857143,29.0823,23.5319,17.8651,-0.94416,1.31623,0.501521
frame065.tif,e9077677575842b1a2925729fbcfb3a50111,210.195,194.5,5.783685714286,30.4347,21.3781,17.4575,3.04707,1.42148,1.09541
