file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t035.tif,Cell type 1_31,560.312,312.593,100.645,29.3149,30.1139,28.4529,4.67314,3.62415,6.81174,0
t035.tif,Cell type 1_110,260.235,184.723,155.284,29.2077,31.3521,28.2651,6.08788,5.73104,6.22178,0
t035.tif,Cell type 1_111,320.356,160.79,90.5081,26.8688,31.3967,26.8688,7.40048,5.87924,9.2423,0
t035.tif,Cell type 1_100,150.64,228.314,117.987,27.7803,31.894,26.9299,6.09172,6.09539,7.08247,0
t035.tif,Cell type 1_101,196.955,337.548,129.832,27.5116,30.5535,27.1673,6.98974,6.56989,5.01267,0
t035.tif,Cell type 1_201,330.997,377.006,87.0588,31.0425,26.2417,27.4156,8.46982,3.7523,8.05946,0
t035.tif,Cell type 1_210,424.273,148.836,130.597,30.1854,24.253,27.0492,8.24956,2.41852,7.04546,0
t035.tif,Cell type 1_211,506.91,234.749,157.446,31.2176,25.7494,28.41,8.82399,7.41479,10.0815,0
t035.tif,Cell type 1_400,307.49,347.38,156.666,26.833,20.4508,26.7325,7.85761,6.10359,9.42784,0
t035.tif,Cell type 1_401,396.687,274.523,153.534,27.5711,21.1062,25.2643,7.54523,6.46943,8.53804,0
t035.tif,Cell type 1_410,448.437,394.843,141.843,28.1141,21.3145,28.0593,7.94669,6.52042,6.18312,0
t035.tif,Cell type 1_411,495.827,353.289,100.301,27.4122,21.7109,27.4122,11.2293,6.33882,6.71058,0
t035.tif,Cell type 1_300,415.586,237.489,57.9273,23.5313,26.0016,22.2922,2.97248,4.3313,5.94749,0
t035.tif,Cell type 1_301,524.856,194.056,73.0277,23.2609,25.1869,21.9001,3.75966,4.42748,6.83069,0
t035.tif,Cell type 1_2000,231.452,267.815,70.3458,24.7347,20.3071,22.5175,8.35468,2.98578,7.78848,0
t035.tif,Cell type 1_2001,276.351,275.887,64.7683,24.5955,19.845,20.9816,8.50854,3.11238,7.66676,0
