file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t115.tif,Cell type 1_6,121.000000,247.000000,105.000000,14.898658,14.898658,14.898658,0.0,0.0,0.0
t115.tif,Cell type 1_13,151.000000,220.000000,84.000000,15.924038,15.924038,15.924038,0.0,0.0,0.0
t115.tif,Cell type 1_21,173.000000,181.000000,105.000000,15.518859,15.518859,15.518859,0.0,0.0,0.0
t115.tif,Cell type 1_28,222.000000,209.000000,105.000000,10.552369,10.552369,10.552369,0.0,0.0,0.0
t115.tif,Cell type 1_37,161.000000,279.000000,63.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_44,217.000000,259.000000,63.000000,10.156033,10.156033,10.156033,0.0,0.0,0.0
t115.tif,Cell type 1_52,214.000000,266.000000,91.000000,10.156033,10.156033,10.156033,0.0,0.0,0.0
t115.tif,Cell type 1_59,277.000000,228.000000,98.000000,12.912107,12.912107,12.912107,0.0,0.0,0.0
t115.tif,Cell type 1_69,119.000000,279.000000,133.000000,14.898658,14.898658,14.898658,0.0,0.0,0.0
t115.tif,Cell type 1_76,160.000000,313.000000,112.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_84,156.000000,311.000000,161.000000,16.390317,16.390317,16.390317,0.0,0.0,0.0
t115.tif,Cell type 1_91,230.000000,355.000000,182.000000,16.763502,16.763502,16.763502,0.0,0.0,0.0
t115.tif,Cell type 1_100,165.000000,358.000000,154.000000,16.927123,16.927123,16.927123,0.0,0.0,0.0
t115.tif,Cell type 1_107,217.000000,385.000000,147.000000,15.344217,15.344217,15.344217,0.0,0.0,0.0
t115.tif,Cell type 1_115,221.000000,347.000000,98.000000,14.485941,14.485941,14.485941,0.0,0.0,0.0
t115.tif,Cell type 1_122,278.000000,375.000000,105.000000,12.883614,12.883614,12.883614,0.0,0.0,0.0
t115.tif,Cell type 1_133,134.000000,217.000000,147.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_140,182.000000,170.000000,147.000000,12.254999,12.254999,12.254999,0.0,0.0,0.0
t115.tif,Cell type 1_148,174.000000,232.000000,175.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_155,232.000000,242.000000,182.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_164,203.000000,171.000000,175.000000,12.254999,12.254999,12.254999,0.0,0.0,0.0
t115.tif,Cell type 1_171,261.000000,177.000000,175.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_179,291.000000,132.000000,161.000000,12.874102,12.874102,12.874102,0.0,0.0,0.0
t115.tif,Cell type 1_186,325.000000,133.000000,147.000000,12.874102,12.874102,12.874102,0.0,0.0,0.0
t115.tif,Cell type 1_196,191.000000,203.000000,63.000000,16.894526,16.894526,16.894526,0.0,0.0,0.0
t115.tif,Cell type 1_203,301.000000,229.000000,70.000000,12.912107,12.912107,12.912107,0.0,0.0,0.0
t115.tif,Cell type 1_211,247.000000,166.000000,70.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_218,327.000000,156.000000,70.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_227,343.000000,267.000000,63.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_234,396.000000,263.000000,77.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_242,375.000000,180.000000,70.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_249,425.000000,198.000000,70.000000,15.542522,15.542522,15.542522,0.0,0.0,0.0
t115.tif,Cell type 1_261,219.000000,325.000000,63.000000,14.485941,14.485941,14.485941,0.0,0.0,0.0
t115.tif,Cell type 1_268,283.000000,310.000000,70.000000,16.289107,16.289107,16.289107,0.0,0.0,0.0
t115.tif,Cell type 1_276,269.000000,382.000000,70.000000,12.883614,12.883614,12.883614,0.0,0.0,0.0
t115.tif,Cell type 1_284,313.000000,369.000000,77.000000,15.827587,15.827587,15.827587,0.0,0.0,0.0
t115.tif,Cell type 1_287,368.000000,374.000000,77.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_292,342.000000,325.000000,63.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_299,421.000000,332.000000,70.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_307,429.000000,389.000000,70.000000,14.473251,14.473251,14.473251,0.0,0.0,0.0
t115.tif,Cell type 1_314,503.000000,375.000000,91.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_324,228.000000,409.000000,112.000000,15.344217,15.344217,15.344217,0.0,0.0,0.0
t115.tif,Cell type 1_331,303.000000,426.000000,112.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_339,332.000000,413.000000,154.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_346,389.000000,414.000000,161.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_355,355.000000,425.000000,112.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_362,415.000000,406.000000,105.000000,14.473251,14.473251,14.473251,0.0,0.0,0.0
t115.tif,Cell type 1_370,456.000000,414.000000,119.000000,11.183582,11.183582,11.183582,0.0,0.0,0.0
t115.tif,Cell type 1_377,480.000000,416.000000,140.000000,11.183582,11.183582,11.183582,0.0,0.0,0.0
t115.tif,Cell type 1_388,232.000000,131.000000,112.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_395,283.000000,133.000000,91.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_403,349.000000,115.000000,98.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_410,411.000000,107.000000,119.000000,15.908645,15.908645,15.908645,0.0,0.0,0.0
t115.tif,Cell type 1_419,406.000000,131.000000,63.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_426,479.000000,140.000000,98.000000,10.204166,10.204166,10.204166,0.0,0.0,0.0
t115.tif,Cell type 1_434,482.000000,120.000000,119.000000,10.204166,10.204166,10.204166,0.0,0.0,0.0
t115.tif,Cell type 1_441,541.000000,182.000000,126.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_451,285.000000,104.000000,133.000000,14.017489,14.017489,14.017489,0.0,0.0,0.0
t115.tif,Cell type 1_458,371.000000,102.000000,140.000000,15.908645,15.908645,15.908645,0.0,0.0,0.0
t115.tif,Cell type 1_466,372.000000,141.000000,175.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_473,431.000000,145.000000,182.000000,16.153173,16.153173,16.153173,0.0,0.0,0.0
t115.tif,Cell type 1_482,442.000000,110.000000,154.000000,16.153173,16.153173,16.153173,0.0,0.0,0.0
t115.tif,Cell type 1_489,491.000000,185.000000,161.000000,16.546525,16.546525,16.546525,0.0,0.0,0.0
t115.tif,Cell type 1_497,526.000000,154.000000,168.000000,16.546525,16.546525,16.546525,0.0,0.0,0.0
t115.tif,Cell type 1_504,565.000000,197.000000,175.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_516,185.000000,277.000000,147.000000,16.390317,16.390317,16.390317,0.0,0.0,0.0
t115.tif,Cell type 1_523,259.000000,295.000000,154.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_531,292.000000,327.000000,182.000000,14.820341,14.820341,14.820341,0.0,0.0,0.0
t115.tif,Cell type 1_538,373.000000,342.000000,175.000000,8.057605,8.057605,8.057605,0.0,0.0,0.0
t115.tif,Cell type 1_543,290.000000,332.000000,140.000000,14.820341,14.820341,14.820341,0.0,0.0,0.0
t115.tif,Cell type 1_550,338.000000,346.000000,133.000000,15.873957,15.873957,15.873957,0.0,0.0,0.0
t115.tif,Cell type 1_558,378.000000,350.000000,154.000000,8.057605,8.057605,8.057605,0.0,0.0,0.0
t115.tif,Cell type 1_561,425.000000,364.000000,133.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_567,232.000000,214.000000,133.000000,10.552369,10.552369,10.552369,0.0,0.0,0.0
t115.tif,Cell type 1_574,301.000000,243.000000,147.000000,12.926330,12.926330,12.926330,0.0,0.0,0.0
t115.tif,Cell type 1_580,325.000000,245.000000,175.000000,12.926330,12.926330,12.926330,0.0,0.0,0.0
t115.tif,Cell type 1_587,430.000000,251.000000,175.000000,13.345973,13.345973,13.345973,0.0,0.0,0.0
t115.tif,Cell type 1_592,304.000000,192.000000,140.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_597,357.000000,193.000000,147.000000,14.519728,14.519728,14.519728,0.0,0.0,0.0
t115.tif,Cell type 1_603,396.000000,195.000000,161.000000,14.519728,14.519728,14.519728,0.0,0.0,0.0
t115.tif,Cell type 1_606,443.000000,218.000000,161.000000,13.345973,13.345973,13.345973,0.0,0.0,0.0
t115.tif,Cell type 1_612,312.000000,300.000000,105.000000,16.289107,16.289107,16.289107,0.0,0.0,0.0
t115.tif,Cell type 1_615,398.000000,302.000000,126.000000,13.658971,13.658971,13.658971,0.0,0.0,0.0
t115.tif,Cell type 1_619,326.000000,235.000000,105.000000,15.199836,15.199836,15.199836,0.0,0.0,0.0
t115.tif,Cell type 1_622,395.000000,227.000000,119.000000,16.616708,16.616708,16.616708,0.0,0.0,0.0
t115.tif,Cell type 1_627,440.000000,288.000000,112.000000,16.251461,16.251461,16.251461,0.0,0.0,0.0
t115.tif,Cell type 1_630,506.000000,329.000000,126.000000,16.850964,16.850964,16.850964,0.0,0.0,0.0
t115.tif,Cell type 1_634,437.000000,206.000000,112.000000,15.542522,15.542522,15.542522,0.0,0.0,0.0
t115.tif,Cell type 1_637,504.000000,248.000000,119.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_645,452.000000,263.000000,63.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_648,501.000000,306.000000,84.000000,16.850964,16.850964,16.850964,0.0,0.0,0.0
t115.tif,Cell type 1_651,555.000000,316.000000,77.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_657,535.000000,392.000000,133.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_664,566.000000,338.000000,119.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_674,480.000000,179.000000,56.000000,17.000000,17.000000,17.000000,0.0,0.0,0.0
t115.tif,Cell type 1_677,528.000000,213.000000,70.000000,15.471425,15.471425,15.471425,0.0,0.0,0.0
t115.tif,Cell type 1_681,563.000000,240.000000,70.000000,15.471425,15.471425,15.471425,0.0,0.0,0.0
