file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t120.tif,GT_6,119.000000,258.000000,105.000000,13.152186,12.494577,11.836968,0.0,0.0,0.0
t120.tif,GT_13,149.000000,221.000000,77.000000,14.290206,13.575696,12.861186,0.0,0.0,0.0
t120.tif,GT_21,158.000000,168.000000,119.000000,12.171278,11.562714,10.954150,0.0,0.0,0.0
t120.tif,GT_29,191.000000,187.000000,105.000000,11.541230,10.964169,10.387107,0.0,0.0,0.0
t120.tif,GT_32,229.000000,181.000000,105.000000,11.541230,10.964169,10.387107,0.0,0.0,0.0
t120.tif,GT_37,166.000000,288.000000,70.000000,14.453027,13.730376,13.007725,0.0,0.0,0.0
t120.tif,GT_44,218.000000,286.000000,70.000000,15.611534,14.830957,14.050381,0.0,0.0,0.0
t120.tif,GT_52,201.000000,241.000000,91.000000,11.498261,10.923348,10.348435,0.0,0.0,0.0
t120.tif,GT_60,248.000000,229.000000,98.000000,12.903488,12.258314,11.613139,0.0,0.0,0.0
t120.tif,GT_63,291.000000,228.000000,98.000000,12.903488,12.258314,11.613139,0.0,0.0,0.0
t120.tif,GT_69,135.000000,279.000000,140.000000,13.152186,12.494577,11.836968,0.0,0.0,0.0
t120.tif,GT_77,142.000000,319.000000,98.000000,14.453027,13.730376,13.007725,0.0,0.0,0.0
t120.tif,GT_80,200.000000,333.000000,126.000000,11.849051,11.256598,10.664146,0.0,0.0,0.0
t120.tif,GT_85,156.000000,320.000000,154.000000,8.469357,8.045889,7.622421,0.0,0.0,0.0
t120.tif,GT_88,180.000000,325.000000,168.000000,8.469357,8.045889,7.622421,0.0,0.0,0.0
t120.tif,GT_92,213.000000,333.000000,182.000000,11.018621,10.467690,9.916759,0.0,0.0,0.0
t120.tif,GT_95,262.000000,327.000000,175.000000,13.409698,12.739213,12.068728,0.0,0.0,0.0
t120.tif,GT_100,178.000000,375.000000,147.000000,15.556671,14.778837,14.001004,0.0,0.0,0.0
t120.tif,GT_107,242.000000,364.000000,154.000000,14.103191,13.398032,12.692872,0.0,0.0,0.0
t120.tif,GT_115,210.000000,359.000000,98.000000,11.849051,11.256598,10.664146,0.0,0.0,0.0
t120.tif,GT_122,290.000000,350.000000,105.000000,11.034944,10.483197,9.931450,0.0,0.0,0.0
t120.tif,GT_133,130.000000,231.000000,140.000000,12.986916,12.337571,11.688225,0.0,0.0,0.0
t120.tif,GT_141,169.000000,198.000000,161.000000,14.403125,13.682968,12.962812,0.0,0.0,0.0
t120.tif,GT_144,216.000000,164.000000,161.000000,14.490342,13.765825,13.041307,0.0,0.0,0.0
t120.tif,GT_149,157.000000,250.000000,168.000000,12.160181,11.552172,10.944163,0.0,0.0,0.0
t120.tif,GT_152,194.000000,265.000000,175.000000,12.160181,11.552172,10.944163,0.0,0.0,0.0
t120.tif,GT_156,236.000000,265.000000,182.000000,12.773801,12.135111,11.496421,0.0,0.0,0.0
t120.tif,GT_159,291.000000,259.000000,175.000000,12.510396,11.884876,11.259356,0.0,0.0,0.0
t120.tif,GT_164,211.000000,208.000000,182.000000,13.264615,12.601384,11.938153,0.0,0.0,0.0
t120.tif,GT_172,252.000000,193.000000,175.000000,13.264615,12.601384,11.938153,0.0,0.0,0.0
t120.tif,GT_175,307.000000,204.000000,175.000000,14.861359,14.118291,13.375223,0.0,0.0,0.0
t120.tif,GT_179,284.000000,146.000000,175.000000,11.951151,11.353593,10.756036,0.0,0.0,0.0
t120.tif,GT_187,283.000000,165.000000,140.000000,11.951151,11.353593,10.756036,0.0,0.0,0.0
t120.tif,GT_190,326.000000,147.000000,140.000000,13.984634,13.285403,12.586171,0.0,0.0,0.0
t120.tif,GT_196,191.000000,229.000000,56.000000,11.498261,10.923348,10.348435,0.0,0.0,0.0
t120.tif,GT_204,273.000000,245.000000,56.000000,14.626346,13.895029,13.163711,0.0,0.0,0.0
t120.tif,GT_207,330.000000,242.000000,63.000000,14.969970,14.221471,13.472973,0.0,0.0,0.0
t120.tif,GT_212,221.000000,184.000000,63.000000,10.478550,9.954622,9.430695,0.0,0.0,0.0
t120.tif,GT_215,255.000000,176.000000,63.000000,10.478550,9.954622,9.430695,0.0,0.0,0.0
t120.tif,GT_218,310.000000,172.000000,63.000000,16.543579,15.716400,14.889221,0.0,0.0,0.0
t120.tif,GT_227,358.000000,288.000000,56.000000,16.291409,15.476838,14.662268,0.0,0.0,0.0
t120.tif,GT_234,418.000000,274.000000,77.000000,15.020985,14.269936,13.518887,0.0,0.0,0.0
t120.tif,GT_242,381.000000,193.000000,70.000000,12.007498,11.407123,10.806748,0.0,0.0,0.0
t120.tif,GT_249,446.000000,203.000000,77.000000,11.439406,10.867435,10.295465,0.0,0.0,0.0
t120.tif,GT_262,194.000000,331.000000,56.000000,15.602884,14.822740,14.042596,0.0,0.0,0.0
t120.tif,GT_265,246.000000,332.000000,56.000000,15.602884,14.822740,14.042596,0.0,0.0,0.0
t120.tif,GT_268,289.000000,299.000000,77.000000,13.014607,12.363877,11.713146,0.0,0.0,0.0
t120.tif,GT_277,249.000000,384.000000,63.000000,15.766420,14.978099,14.189778,0.0,0.0,0.0
t120.tif,GT_280,303.000000,397.000000,70.000000,13.345786,12.678497,12.011207,0.0,0.0,0.0
t120.tif,GT_284,336.000000,368.000000,77.000000,12.267029,11.653678,11.040326,0.0,0.0,0.0
t120.tif,GT_287,386.000000,383.000000,91.000000,13.553228,12.875567,12.197906,0.0,0.0,0.0
t120.tif,GT_292,366.000000,344.000000,63.000000,12.267029,11.653678,11.040326,0.0,0.0,0.0
t120.tif,GT_299,428.000000,341.000000,70.000000,17.000000,16.150000,15.000000,0.0,0.0,0.0
t120.tif,GT_307,451.000000,400.000000,84.000000,13.152186,12.494577,11.836968,0.0,0.0,0.0
t120.tif,GT_314,509.000000,380.000000,105.000000,17.000000,16.150000,15.000000,0.0,0.0,0.0
t120.tif,GT_324,234.000000,403.000000,126.000000,14.601712,13.871627,13.141541,0.0,0.0,0.0
t120.tif,GT_331,295.000000,415.000000,119.000000,14.000714,13.300679,12.600643,0.0,0.0,0.0
t120.tif,GT_339,323.000000,402.000000,154.000000,14.000714,13.300679,12.600643,0.0,0.0,0.0
t120.tif,GT_347,378.000000,399.000000,161.000000,14.268146,13.554739,12.841332,0.0,0.0,0.0
t120.tif,GT_350,434.000000,387.000000,161.000000,13.777155,13.088297,12.399440,0.0,0.0,0.0
t120.tif,GT_355,359.000000,425.000000,126.000000,14.268146,13.554739,12.841332,0.0,0.0,0.0
t120.tif,GT_362,418.000000,407.000000,112.000000,13.152186,12.494577,11.836968,0.0,0.0,0.0
t120.tif,GT_370,455.000000,421.000000,133.000000,12.703149,12.067992,11.432834,0.0,0.0,0.0
t120.tif,GT_377,489.000000,407.000000,154.000000,12.703149,12.067992,11.432834,0.0,0.0,0.0
t120.tif,GT_388,227.000000,126.000000,119.000000,13.609555,12.929078,12.248600,0.0,0.0,0.0
t120.tif,GT_395,262.000000,133.000000,91.000000,13.609555,12.929078,12.248600,0.0,0.0,0.0
t120.tif,GT_403,335.000000,126.000000,91.000000,12.434629,11.812898,11.191166,0.0,0.0,0.0
t120.tif,GT_411,388.000000,98.000000,91.000000,11.700000,11.115000,10.530000,0.0,0.0,0.0
t120.tif,GT_414,433.000000,112.000000,105.000000,13.777155,13.088297,12.399440,0.0,0.0,0.0
t120.tif,GT_419,403.000000,137.000000,63.000000,15.089732,14.335245,13.580758,0.0,0.0,0.0
t120.tif,GT_427,462.000000,134.000000,77.000000,13.777155,13.088297,12.399440,0.0,0.0,0.0
t120.tif,GT_430,516.000000,154.000000,77.000000,13.832570,13.140942,12.449313,0.0,0.0,0.0
t120.tif,GT_434,494.000000,118.000000,126.000000,12.706691,12.071357,11.436022,0.0,0.0,0.0
t120.tif,GT_441,557.000000,168.000000,119.000000,8.782369,8.343250,7.904132,0.0,0.0,0.0
t120.tif,GT_451,289.000000,111.000000,133.000000,14.997000,14.247150,13.497300,0.0,0.0,0.0
t120.tif,GT_459,338.000000,104.000000,126.000000,12.237647,11.625764,11.013882,0.0,0.0,0.0
t120.tif,GT_462,378.000000,112.000000,126.000000,11.700000,11.115000,10.530000,0.0,0.0,0.0
t120.tif,GT_466,367.000000,143.000000,168.000000,14.924812,14.178571,13.432330,0.0,0.0,0.0
t120.tif,GT_474,417.000000,149.000000,175.000000,13.744453,13.057231,12.370008,0.0,0.0,0.0
t120.tif,GT_477,466.000000,168.000000,175.000000,10.920165,10.374157,9.828148,0.0,0.0,0.0
t120.tif,GT_482,434.000000,108.000000,154.000000,14.730580,13.994051,13.257522,0.0,0.0,0.0
t120.tif,GT_489,487.000000,178.000000,147.000000,10.920165,10.374157,9.828148,0.0,0.0,0.0
t120.tif,GT_498,507.000000,138.000000,161.000000,12.706691,12.071357,11.436022,0.0,0.0,0.0
t120.tif,GT_501,554.000000,160.000000,147.000000,8.782369,8.343250,7.904132,0.0,0.0,0.0
t120.tif,GT_504,553.000000,200.000000,168.000000,13.556548,12.878721,12.200893,0.0,0.0,0.0
t120.tif,GT_516,194.000000,274.000000,126.000000,14.583210,13.854049,13.124889,0.0,0.0,0.0
t120.tif,GT_523,259.000000,279.000000,133.000000,16.224981,15.413732,14.602483,0.0,0.0,0.0
t120.tif,GT_531,316.000000,337.000000,175.000000,13.916896,13.221051,12.525207,0.0,0.0,0.0
t120.tif,GT_538,391.000000,332.000000,175.000000,10.322790,9.806651,9.290511,0.0,0.0,0.0
t120.tif,GT_543,277.000000,330.000000,133.000000,11.034944,10.483197,9.931450,0.0,0.0,0.0
t120.tif,GT_550,334.000000,345.000000,133.000000,13.000769,12.350731,11.700692,0.0,0.0,0.0
t120.tif,GT_558,375.000000,344.000000,147.000000,10.322790,9.806651,9.290511,0.0,0.0,0.0
t120.tif,GT_561,421.000000,353.000000,133.000000,13.777155,13.088297,12.399440,0.0,0.0,0.0
t120.tif,GT_567,227.000000,211.000000,140.000000,13.513327,12.837660,12.161994,0.0,0.0,0.0
t120.tif,GT_574,308.000000,244.000000,140.000000,12.488795,11.864355,11.239915,0.0,0.0,0.0
t120.tif,GT_580,359.000000,230.000000,175.000000,17.000000,16.150000,15.000000,0.0,0.0,0.0
t120.tif,GT_587,435.000000,240.000000,182.000000,10.322790,9.806651,9.290511,0.0,0.0,0.0
t120.tif,GT_592,305.000000,197.000000,126.000000,12.383860,11.764667,11.145474,0.0,0.0,0.0
t120.tif,GT_597,362.000000,178.000000,133.000000,13.244244,12.582032,11.919820,0.0,0.0,0.0
t120.tif,GT_603,400.000000,186.000000,154.000000,13.244244,12.582032,11.919820,0.0,0.0,0.0
t120.tif,GT_606,435.000000,220.000000,154.000000,10.322790,9.806651,9.290511,0.0,0.0,0.0
t120.tif,GT_612,322.000000,296.000000,105.000000,13.014607,12.363877,11.713146,0.0,0.0,0.0
t120.tif,GT_615,399.000000,306.000000,112.000000,10.787493,10.248118,9.708743,0.0,0.0,0.0
t120.tif,GT_619,338.000000,237.000000,112.000000,12.488795,11.864355,11.239915,0.0,0.0,0.0
t120.tif,GT_622,397.000000,204.000000,105.000000,12.007498,11.407123,10.806748,0.0,0.0,0.0
t120.tif,GT_627,447.000000,295.000000,112.000000,14.773287,14.034622,13.295958,0.0,0.0,0.0
t120.tif,GT_630,495.000000,316.000000,119.000000,15.146287,14.388972,13.631658,0.0,0.0,0.0
t120.tif,GT_634,444.000000,188.000000,112.000000,11.439406,10.867435,10.295465,0.0,0.0,0.0
t120.tif,GT_637,508.000000,227.000000,105.000000,16.933399,16.086729,15.000000,0.0,0.0,0.0
t120.tif,GT_645,470.000000,277.000000,63.000000,16.180544,15.371517,14.562489,0.0,0.0,0.0
t120.tif,GT_648,523.000000,315.000000,77.000000,9.362692,8.894557,8.426423,0.0,0.0,0.0
t120.tif,GT_652,550.000000,322.000000,63.000000,9.362692,8.894557,8.426423,0.0,0.0,0.0
t120.tif,GT_653,568.000000,334.000000,91.000000,10.615084,10.084329,9.553575,0.0,0.0,0.0
t120.tif,GT_657,547.000000,376.000000,147.000000,16.543579,15.716400,14.889221,0.0,0.0,0.0
t120.tif,GT_664,557.000000,326.000000,126.000000,11.264990,10.701741,10.138491,0.0,0.0,0.0
t120.tif,GT_674,482.000000,177.000000,56.000000,13.832570,13.140942,12.449313,0.0,0.0,0.0
t120.tif,GT_677,548.000000,208.000000,70.000000,13.489996,12.815496,12.140997,0.0,0.0,0.0
t120.tif,GT_681,571.000000,246.000000,77.000000,12.646343,12.014026,11.381709,0.0,0.0,0.0
t120.tif,GT_684,610.000000,301.000000,112.000000,17.000000,16.150000,15.000000,0.0,0.0,0.0
t120.tif,GT_688,597.000000,208.000000,147.000000,14.821943,14.080846,13.339749,0.0,0.0,0.0
t120.tif,GT_695,568.000000,248.000000,119.000000,12.646343,12.014026,11.381709,0.0,0.0,0.0
t120.tif,GT_705,461.000000,343.000000,168.000000,15.628820,14.847379,14.065938,0.0,0.0,0.0
t120.tif,GT_708,523.000000,326.000000,168.000000,16.211107,15.400552,14.589997,0.0,0.0,0.0
t120.tif,GT_712,501.000000,229.000000,168.000000,16.057708,15.254823,14.451938,0.0,0.0,0.0
t120.tif,GT_715,549.000000,278.000000,168.000000,16.376813,15.557972,14.739132,0.0,0.0,0.0
t120.tif,GT_719,463.000000,264.000000,154.000000,13.891004,13.196454,12.501904,0.0,0.0,0.0
t120.tif,GT_720,407.000000,304.000000,147.000000,10.787493,10.248118,9.708743,0.0,0.0,0.0
