file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t146.tif,t120_cell_001,377.323,111.268,84.1567,18.5545,16.9624,15.7333,0.743968,-0.585584,0.213883,0
t146.tif,t120_cell_002,316.841,103.587,90.415,17.7048,17.1968,15.8202,0.00640894,-0.415468,-1.09655,0
t146.tif,t120_cell_004,418.198,111.469,93.3268,19.4706,18.0392,17.5028,0.606494,0.121403,0.921884,0
t146.tif,t120_cell_006,359.361,112.115,117.42,18.6996,17.8409,16.8595,0.749785,0.3531,1.00586,0
t146.tif,t120_cell_011,500.588,133.27,73.4969,18.098,17.1819,16.1089,0.264958,-0.195157,0.506495,0
t146.tif,t120_cell_013,482.456,125.656,155.495,19.6756,19.1,17.2749,1.09183,-0.693947,-0.0319517,0
t146.tif,t120_cell_016,304.229,124.786,134.922,19.6771,18.6117,17.2084,-0.230049,0.0199088,-1.47516,0
t146.tif,t120_cell_017,379.495,173.058,174.395,23.8382,18.9492,18.2213,-1.95636,1.18526,-0.20905,0
t146.tif,t120_cell_018,560.683,165.677,104.717,18.917,16.9257,14.6572,-1.05577,1.21606,-1.43359,0
t146.tif,t120_cell_019,532.496,151.615,162.314,19.6665,18.0014,17.4599,-1.04836,1.27868,-1.34876,0
t146.tif,t120_cell_020,206.989,161.397,167.845,21.0303,19.1473,17.4653,-1.80376,-0.894912,0.883997,0
t146.tif,t120_cell_021,261.509,127.442,146.513,19.8419,17.7261,16.512,-0.340239,-0.330541,-0.170635,0
t146.tif,t120_cell_022,421.028,150.682,180.444,24.8131,20.5675,19.1641,-0.442284,-1.27826,1.21767,0
t146.tif,t120_cell_026,257.754,230.798,49.077,16.5056,15.3887,14.4509,0.173613,-0.115478,-0.749775,0
t146.tif,t120_cell_027,483.26,226.752,51.0088,19.4231,16.4573,15.4642,-0.0205602,-0.154303,0.0279621,0
t146.tif,t120_cell_030,203.22,187.901,68.2049,17.7475,16.1635,15.3662,-0.416234,-0.0235344,0.868222,0
t146.tif,t120_cell_031,208.635,262.593,48.2875,18.4318,15.8461,15.0125,0.227505,0.149438,0.832909,0
t146.tif,t120_cell_033,165.589,192.513,80.4088,17.5508,16.7822,15.3588,0.181021,-0.819697,1.26769,0
t146.tif,t120_cell_034,437.691,194.586,81.737,22.4428,20.5287,17.5768,-0.032294,0.05864,0.940399,0
t146.tif,t120_cell_036,273.62,184.914,180.168,26.2324,19.9702,18.0583,-0.713479,-1.30575,0.922354,0
t146.tif,t120_cell_037,172.487,185.713,158.625,21.4029,18.8242,17.3629,1.09641,-1.30373,-0.309365,0
t146.tif,t120_cell_040,516.417,182.433,65.3393,16.6944,16.0225,15.2431,-0.549464,0.0918835,0.834655,0
t146.tif,t120_cell_041,310.078,195.511,169.222,24.2933,20.723,18.8872,-2.33575,1.24013,-1.41829,0
t146.tif,t120_cell_042,382.178,224.026,88.9626,21.3265,20.6628,20.0882,-0.363598,-0.139346,0.35388,0
t146.tif,t120_cell_044,560.143,237.595,65.1023,18.8112,17.4712,16.2859,-0.771047,-0.021577,0.701496,0
t146.tif,t120_cell_047,135.503,231.168,91.2397,18.2175,17.1104,15.4825,-1.50173,-0.569018,1.51288,0
t146.tif,t120_cell_048,400.244,158.708,119.773,19.796,18.037,14.3785,1.15045,0.637407,0.279046,0
t146.tif,t120_cell_049,111.551,276.62,100.555,17.845,17.2126,16.3636,0.410958,-0.490479,1.45529,0
t146.tif,t120_cell_050,511.7,236.211,87.3995,22.9542,21.6369,18.7934,0.259365,-0.328381,-1.50221,0
t146.tif,t120_cell_051,271.95,201.699,72.5191,18.4628,16.5983,16.15,0.105755,0.566464,0.509215,0
t146.tif,t120_cell_052,200.574,241.953,65.2092,17.3097,16.4412,15.912,-1.40995,-0.174543,0.592591,0
t146.tif,t120_cell_056,451.954,206.247,158.695,28.1913,23.9278,20.3198,1.05749,-0.414828,-0.793214,0
t146.tif,t120_cell_057,315.905,232.173,82.4964,22.8388,21.4453,17.77,0.193606,0.0728037,0.0392829,0
t146.tif,t120_cell_059,172.271,259.282,75.8227,17.9592,17.0008,15.682,-2.56405,-0.0508776,-1.18403,0
t146.tif,t120_cell_060,347.084,238.366,50.26,17.9937,16.6789,15.4364,-0.651325,0.0907686,0.240961,0
t146.tif,t120_cell_061,287.224,275.355,52.705,18.3143,17.0075,15.7414,0.0627182,0.298804,-0.44309,0
t146.tif,t120_cell_063,607.855,268.024,106.94,20.1105,18.7854,16.5933,-0.952744,-1.34733,1.07082,0
t146.tif,t120_cell_065,196.227,263.44,156.426,20.8983,19.2037,18.2634,-0.281598,-0.858022,0.00521972,0
t146.tif,t120_cell_067,277.226,225.635,145.176,20.0666,19.1169,18.327,0.644158,1.43645,-0.249113,0
t146.tif,t120_cell_068,235.534,238.661,145.258,19.8026,18.8161,16.9353,0.0687794,1.43408,-1.2576,0
