file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t080.tif,Cell type 1_310,534.513,363.203,153.571,23.6824,22.3931,23.1642,9.16216,7.1672,12.2268
t080.tif,Cell type 1_3010,468.617,182.177,71.7757,11.6925,24.4979,11.6925,11.9464,11.4409,14.3125
t080.tif,Cell type 1_3011,560.13,259.432,85.2095,17.0985,22.084,11.0357,6.2892,6.66096,12.6707
t080.tif,Cell type 1_3000,381.899,240.219,70.2617,12.8759,23.939,12.8759,3.17114,8.79521,12.8514
t080.tif,Cell type 1_3001,489.857,309.96,60.3829,13.5825,18.5033,11.6957,3.23361,6.74282,10.1154
t080.tif,Cell type 1_20000,193.106,279.542,62.4034,21.3307,21.9188,21.3307,12.8198,4.88647,11.3935
t080.tif,Cell type 1_20001,258.983,329.905,73.6954,22.2794,22.0079,21.7376,12.41,3.54334,12.028
t080.tif,Cell type 1_11000,156.666,190.726,141.517,24.7552,20.9361,21.9983,12.1612,12.6109,14.3062
t080.tif,Cell type 1_11001,220.899,197.358,167.186,25.1847,20.1345,21.0309,13.0131,10.0159,13.8241
t080.tif,Cell type 1_20100,306.302,386.925,63.0548,21.857,19.8416,21.7602,14.0458,8.99019,13.2979
t080.tif,Cell type 1_20101,400.525,416.321,94.6129,22.6046,20.1191,22.2355,13.7326,9.35795,12.7804
t080.tif,Cell type 1_10010,162.259,199.262,81.9059,22.9594,18.423,22.9074,11.245,9.54821,13.3454
t080.tif,Cell type 1_10011,226.199,239.421,111.24,23.4457,19.7419,22.7822,11.2188,9.99395,13.7916
t080.tif,Cell type 1_21010,422.394,110.946,92.7372,21.8231,21.7994,21.0037,13.2733,6.36096,11.944
t080.tif,Cell type 1_21011,488.23,161.998,121.026,21.4914,21.9665,21.0028,12.5535,6.36383,11.6324
t080.tif,Cell type 1_10100,155.642,335.129,97.8,23.6324,22.5734,21.7059,12.6423,12.7965,9.52927
t080.tif,Cell type 1_10101,214.145,382.396,143.228,24.7252,22.7864,21.5836,12.4214,11.8385,9.71293
t080.tif,Cell type 1_21100,446.486,116.002,152.262,20.4101,19.5193,20.4044,15.377,10.9262,16.7409
t080.tif,Cell type 1_21101,508.04,177.76,169.605,20.6997,19.9254,20.6997,14.2383,12.1442,14.021
t080.tif,Cell type 1_11010,227.845,133.89,132.691,22.1649,20.2466,21.2184,10.9876,9.47968,14.0363
t080.tif,Cell type 1_11011,311.031,131.519,155.456,22.1432,20.2466,20.7974,12.9133,10.3861,13.6122
t080.tif,Cell type 1_10000,119.55,263.447,95.562,22.1922,23.4886,21.4478,9.63013,9.32363,12.3429
t080.tif,Cell type 1_10001,157.873,263.364,142.922,22.156,23.6587,20.9989,9.31552,9.57762,12.3313
t080.tif,Cell type 1_21000,310.369,107.889,99.2987,23.2409,22.2587,20.1455,12.5873,6.41376,14.0758
t080.tif,Cell type 1_21001,377.857,126.062,145.581,23.2187,22.2412,21.5852,13.5594,7.05752,13.5759
t080.tif,Cell type 1_20010,261.333,250.825,63.1062,22.4784,19.4381,20.0329,10.7261,3.175,9.61435
t080.tif,Cell type 1_20011,333.469,317.631,70.2668,23.2661,18.9093,20.9629,10.9599,3.08813,9.46017
t080.tif,Cell type 1_10110,218.192,382.865,98.1233,23.2136,24.5581,22.94,11.1399,11.4501,7.98937
t080.tif,Cell type 1_10111,305.398,389.013,112.13,22.0339,23.8345,22.0339,10.6746,11.5151,7.98893
t080.tif,Cell type 1_11100,222.127,170.978,69.1771,20.0332,24.7558,19.7763,9.52699,9.75902,14.6377
t080.tif,Cell type 1_11101,277.606,199.534,111.217,21.1479,25.1537,20.5362,9.48829,9.75573,14.2644
t080.tif,Cell type 1_20110,398.009,356.241,57.1029,21.4916,19.5742,20.8454,11.2661,3.30272,12.4966
t080.tif,Cell type 1_20111,458.912,393.487,87.4389,21.9021,19.8994,21.6405,13.2435,4.11866,12.6891
t080.tif,Cell type 1_21110,551.62,154.44,130.418,21.5902,20.665,20.003,14.6896,13.2608,17.2581
t080.tif,Cell type 1_21111,572.347,223.569,146.105,21.31,20.6407,19.9163,13.7787,12.7666,16.0835
t080.tif,Cell type 1_4100,383.747,303.232,113.474,24.9091,22.0718,19.2614,12.7304,9.56016,13.0562
t080.tif,Cell type 1_4101,395.746,366.36,142.114,23.486,21.7104,19.9296,15.3285,12.5054,13.9401
t080.tif,Cell type 1_11110,320.88,169.306,63.8218,25.8384,20.5752,18.4267,9.65945,9.36379,15.4133
t080.tif,Cell type 1_11111,382.979,168.062,100.525,23.9754,20.1576,16.4477,9.59135,12.7211,16.6511
t080.tif,Cell type 1_4110,490.657,321.616,118.313,22.6051,19.3009,22.5413,17.4057,9.16462,12.807
t080.tif,Cell type 1_4111,466.926,246,125.052,22.8757,19.4582,22.8757,14.3464,9.61039,13.4702
t080.tif,Cell type 1_3110,533.576,367.175,103.524,20.6139,18.5244,19.9155,6.89124,8.89252,12.7193
t080.tif,Cell type 1_3111,573.119,280.586,142.926,21.0741,19.2112,19.3644,6.57045,8.06773,13.0157
t080.tif,Cell type 1_40000,192.929,307.441,173.542,16.0665,19.8018,15.4825,14.1201,10.9684,16.8665
t080.tif,Cell type 1_40001,286.094,313.888,167.033,15.8017,19.9757,15.8017,14.749,11.7135,16.3909
t080.tif,Cell type 1_40100,285.425,225.831,165.575,14.6899,20.5657,12.0699,15.4454,11.7404,16.9898
t080.tif,Cell type 1_40101,385.996,273.261,164.136,15.846,20.725,12.2213,15.2177,13.6055,18.307
t080.tif,Cell type 1_40010,308.913,393.817,155.604,19.5212,20.4565,18.3853,16.2072,9.24209,15.295
t080.tif,Cell type 1_40011,436.773,397.165,166.664,18.7737,20.5461,18.0757,15.0971,9.85803,15.8568
t080.tif,Cell type 1_40110,395.432,183.183,165.034,17.1943,20.907,8.21351,15.6747,10.6379,15.166
t080.tif,Cell type 1_40111,469.706,280.451,178.18,17.2722,20.7862,7.56138,15.7823,12.6285,15.2878
