file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t169.tif,t120_cell_002,271.78,129.398,121.067,17.402,14.6218,12.5268,0.46258,0.775175,-0.317676,0
t169.tif,t120_cell_011,527.56,148.067,76.691,16.414,14.6045,10.6354,-0.116399,1.00412,0.283026,0
t169.tif,t120_cell_027,476.908,218.507,51.4347,19.8488,18.9697,15.3274,-0.27021,-0.0241123,-0.882835,0
t169.tif,t120_cell_033,175.266,173.954,83.4244,17.5372,14.6208,9.93945,-0.586708,1.46416,1.64371,0
t169.tif,t120_cell_034,445.087,215.51,83.6839,21.0023,20.5448,17.6725,0.0148382,0.291854,0.282328,0
t169.tif,t120_cell_040,524.329,179.838,57.1338,17.6562,16.6385,15.1028,0.700021,-0.228842,-0.127087,0
t169.tif,t120_cell_042,385.246,251.902,115.323,22.3623,20.9831,20.2783,-0.280258,0.0821292,0.352126,0
t169.tif,t120_cell_049,118.389,311.095,99.0229,17.8995,14.2716,10.3807,1.45057,-0.19285,0.314957,0
t169.tif,t120_cell_050,500.096,243.139,75.7268,21.5561,20.6296,18.1676,0.020823,-0.142969,-0.0440267,0
t169.tif,t120_cell_052,204.676,230.142,64.6932,15.8128,14.968,13.6722,1.68702,0.694223,1.19003,0
t169.tif,t120_cell_057,374.814,237.713,83.104,16.0159,14.036,9.64757,-0.908485,-1.43783,0.80364,0
t169.tif,t120_cell_069,242.816,302.621,139.504,20.5297,18.784,15.8773,0.741968,-0.126559,0.608977,0
t169.tif,t120_cell_070,435.417,253.353,128.415,25.5695,21.3735,19.3909,-1.4443,1.12175,-0.538494,0
t169.tif,t120_cell_080,452.943,279.625,77.6181,21.9687,19.625,17.1397,-0.0356698,0.0189129,0.232495,0
t169.tif,t120_cell_081,330.272,290.49,84.0661,22.141,20.641,17.6467,-0.218477,-0.00615478,1.50325,0
t169.tif,t120_cell_082,388.474,317.045,126.101,21.8371,21.5461,19.3083,0.471516,-0.97668,-0.609395,0
t169.tif,t120_cell_085,384.629,311.673,91.4721,19.8912,17.8262,13.182,-1.57104,0.419296,-1.08298,0
t169.tif,t120_cell_087,506.104,283.751,91.2798,22.4317,21.3756,19.7942,0.871265,-0.331018,0.638227,0
t169.tif,t120_cell_090,564.467,303.899,135.751,18.7897,15.5325,13.7767,-0.305845,0.793652,-0.485378,0
t169.tif,t120_cell_097,223.151,326.414,49.501,15.0652,13.3987,8.91455,1.60421,-1.00878,-1.20261,0
t169.tif,t120_cell_116,190.257,370.255,64.779,15.6329,14.4041,11.263,-1.16622,-1.16172,1.09275,0
t169.tif,t120_cell_118,433.114,314.855,175.164,22.6624,17.617,11.7746,1.23583,1.16991,1.18484,0
t169.tif,t120_cell_122,320.226,375.433,172.505,22.8497,17.7854,12.054,1.78625,-0.921813,-1.45545,0
t169.tif,t120_cell_123,374.327,357.627,173.016,23.7516,19.7349,11.9815,0.928558,-1.40775,-1.02748,0
t169.tif,t120_cell_126,402.419,421.566,141.664,21.0457,17.1497,13.3576,-1.59749,-0.895614,1.29195,0
t169.tif,t120_cell_0051,334.067,102.136,129.099,16.8732,14.4462,12.0463,1.4261,-0.0138048,-1.66312,0
t169.tif,t120_cell_0140,342.166,151.092,147.297,20.0091,17.7983,12.8049,-1.11389,0.347779,-1.47343,0
t169.tif,t120_cell_1060,543.492,365.22,86.7729,18.7284,17.5848,16.2447,0.290066,0.30773,1.29825,0
t169.tif,t120_cell_0080,262.344,164.926,58.3748,15.6036,13.6268,10.0828,1.46848,-1.46032,1.49653,0
t169.tif,t120_cell_0121,454.665,125.158,84.6785,17.2891,16.6609,15.0432,0.814103,0.807888,0.921685,0
t169.tif,t120_cell_0640,514.526,189.204,115.758,20.6802,19.2916,15.8783,0.776931,0.94045,0.973994,0
t169.tif,t120_cell_0641,540.413,236.803,140.302,21.0081,18.7922,14.8279,-0.748543,-0.321362,-0.0659979,0
t169.tif,t120_cell_0830,292.387,364.255,50.567,16.3588,15.5443,14.4859,-1.28598,-0.592115,0.448764,0
t169.tif,t120_cell_0251,300.905,182.735,52.0312,17.952,15.0774,12.3164,1.20852,-0.563141,-0.810818,0
t169.tif,t120_cell_1270,266.067,413.126,127.639,18.8214,16.2392,11.8991,0.933521,-1.40969,-0.68352,0
t169.tif,t120_cell_1251,482.628,322.719,171.338,22.8429,21.3452,12.4401,-1.2112,-1.32793,0.730943,0
t169.tif,t120_cell_0661,117.538,249.341,116.499,18.6126,17.853,13.8954,0.413035,-1.31758,-1.67599,0
t169.tif,t120_cell_0230,169.722,168.768,117.804,20.8041,18.6563,12.1203,1.38826,-0.337611,0.797693,0
t169.tif,t120_cell_0231,143.153,196.786,121.506,19.1171,15.3825,14.0128,-1.74719,0.091889,0.133314,0
t169.tif,t120_cell_0450,216.352,210.883,179.118,22.5779,18.8399,17.1964,-1.96523,0.896792,-1.39731,0
t169.tif,t120_cell_0070,472.105,114.045,111.752,23.8301,13.5013,11.2596,-0.779738,-0.0620419,-1.00666,0
t169.tif,t120_cell_0071,512.928,135.042,105.661,20.3169,18.5321,10.8023,-1.30786,0.0729206,-1.06376,0
t169.tif,t120_cell_1101,192.562,392.263,99.3423,17.7892,17.3095,14.7987,0.559968,0.539926,0.785974,0
t169.tif,t120_cell_0550,141.288,222.291,141.372,20.4459,18.4387,17.0515,1.30241,0.776435,0.428635,0
t169.tif,t120_cell_0551,161.717,256.766,119.031,20.2737,17.1683,15.6625,0.377691,0.461589,1.50347,0
t169.tif,t120_cell_0090,195.149,135.983,117.637,18.7554,17.1121,14.6148,-1.34967,-0.811324,0.756728,0
t169.tif,t120_cell_0150,272.748,182.149,177.783,24.8577,17.6189,16.4994,-0.739134,-1.43254,-0.34539,0
t169.tif,t120_cell_1210,511.9,396.33,103.628,20.2738,17.9403,13.2027,-0.824215,1.2019,-1.50736,0
t169.tif,t120_cell_1211,470.817,419.528,107.57,18.5366,17.5773,15.6376,-0.570419,0.00263446,1.19628,0
